NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, 1884, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Diarrhoea and Dysentery, , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1884, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1885, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1886, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1887, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1888, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1889, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1890, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1891, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1892, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1893, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1894, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1895, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1896, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1897, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1898, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1899, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1900, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1901, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1902, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1903, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1904, n/g
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1905, 330
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1906, 703
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1907, 542
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1908, 516
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1909, 527
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1910, 493
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1911, 781
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1912, 1
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1913, 093
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1914, 1
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1915, 302
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1916, 1
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1917, 132
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), 1918, 1
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), Year, 029
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 1
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 501
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 1
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 942
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 2
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 123
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
NOTIFICATION OF INFECTIOUS DISEASE IN THE CITY AND COUNTY OF BRISTOL (1884 – 1918), Tuberculosis (All forms), , 
